author,experience_days,number_of_fact_checks,unique_claim_percentage,fc_frequency_mean,fc_frequency_std,pairwise_diff_mean,pairwise_diff_std,number_of_organisations,word_count_mean,word_count_std
Alex Demas,489,208,0.9711538461538461,1.8695652173913044,2.2246176292689492,152.98704013377926,109.05735746739914,1,687.2692307692307,505.4289273424845
Alex Kasprak,9212,922,0.9349240780911063,9.547231270358306,92.93669067329687,1111.0670778956194,896.3108936287665,1,466.8655097613883,333.89129955215026
Alex Kuffner,1068,35,1.0,31.41176470588235,148.38159602597517,453.6806722689076,456.88480303013387,1,963.3142857142857,227.0854686765175
Alex Mwangi,0,1,1.0,,,,,1,861.0,
Alex Popa,62,42,0.9285714285714286,1.0975609756097562,2.211389586309709,18.659698025551684,13.677609207644238,1,341.6904761904762,57.24252559376706
Alex Sakariassen,0,1,1.0,,,,,1,1177.0,
Alex Wilts,83,6,0.8333333333333334,16.6,5.319774431308154,40.666666666666664,22.207105969836668,1,1101.6666666666667,263.02598097272954
Alexander Gogoladze,24,2,1.0,24.0,,24.0,0.0,1,684.0,278.6000717874997
Alexander Nacht,321,5,1.0,79.75,113.77279991280868,180.8,126.76497939099742,1,670.0,522.6523701276021
Alexandra Hiropoulos,497,2,1.0,497.0,,497.0,0.0,1,710.5,371.23106012293744
Alexandra Kuenning,99,18,0.9444444444444444,5.294117647058823,5.217335357756306,41.450980392156865,28.3415077427143,1,669.6666666666666,224.339029150079
Alexandra L. Mangasar,0,1,1.0,,,,,1,299.0,
Alexandra Stepanova,72,4,0.25,23.666666666666668,14.153915830374762,38.333333333333336,20.596655607700544,1,677.75,334.3823908840496
Alexia Bianchi,63,85,0.9764705882352941,0.3333333333333333,0.8549407551281648,20.86778711484594,14.953013200910801,1,204.50588235294117,127.63989743558615
Alexia Partouche,83,7,0.5714285714285714,13.333333333333334,9.352361555600098,32.333333333333336,21.02455103044405,1,409.42857142857144,57.751932558882515
Alexios Mantzarlis,0,1,1.0,,,,,1,559.0,
Alexis Orsini,979,9,0.2222222222222222,122.0,220.72219125925176,375.8611111111111,335.2104772276814,1,623.2222222222222,122.42832370184787
Alexis Tereszcuk,94,56,0.8392857142857143,1.1636363636363636,1.34389754299225,31.764285714285716,22.423831184908533,1,447.69642857142856,170.6719255438081
Alexis Waiss,51,4,0.75,17.0,23.515952032609693,25.666666666666668,21.19486310930604,1,593.5,140.31987267193009
Ali Abbas Ahmadi,0,1,1.0,,,,,1,1121.0,
Alice Li,13,2,1.0,13.0,,13.0,0.0,1,593.5,88.38834764831844
Alice Ritchie,0,1,1.0,,,,,1,630.0,
Alie Tarawally,584,14,0.9285714285714286,44.53846153846154,22.377873687400033,205.69230769230768,134.97689605373557,1,661.3571428571429,229.2384070193022
Alison Dirr,313,4,1.0,104.33333333333333,87.32315462312006,166.33333333333334,101.02419952114883,1,894.0,73.84217403805677
Aliya Zainab,981,8,1.0,139.85714285714286,197.2328814468052,355.82142857142856,285.42350158160076,1,461.75,140.79950284003138
Aliyu Dahiru,61,4,1.0,20.0,34.64101615137755,40.333333333333336,28.522895287041873,1,548.0,144.13650936987943
Aliyu Doma,99,4,1.0,32.666666666666664,39.10669166949991,62.0,37.8021163428716,1,507.25,254.68722648247072
Aliza Noor,14,3,1.0,6.5,9.192388155425117,9.0,6.377042156569663,1,823.6666666666666,591.7890953146511
Allen Joe Mathew,308,52,0.9423076923076923,5.549019607843137,5.315312692552324,85.32579185520362,63.35223932657168,1,443.90384615384613,188.77263631207563
Allie Morris,1527,13,1.0,127.25,263.871223757485,359.3076923076923,373.5299153121957,1,759.6153846153846,132.68542903018053
Allison Colburn,221,4,1.0,73.66666666666667,106.0393008904403,111.83333333333333,95.57792050933567,1,968.5,133.23287882501074
Allison Garfield,23,2,1.0,23.0,,23.0,0.0,1,833.5,82.73149339882606
Allison Graves,1023,140,0.9285714285714286,7.359712230215828,17.60928904828794,295.4954779033916,212.26248132081042,1,831.5571428571428,270.1459043939826
Allison Santa-Cruz,84,2,1.0,84.0,,84.0,0.0,1,725.5,84.14570696119915
Allwell Okpi,2555,194,0.979381443298969,13.238341968911918,15.910072194575825,746.9100475401955,552.8982271416817,1,430.6701030927835,313.3301399713999
Alphonce Shiundu,2890,61,0.9180327868852459,48.166666666666664,96.09867221902647,969.8163934426229,754.2742483331034,1,740.2786885245902,415.84156162123173
Alysha Bibi,49,3,0.0,24.0,15.556349186104045,32.333333333333336,14.817407180595247,1,511.6666666666667,151.22940631151513
Alyssa Chen 陳逸昕,33,2,0.5,33.0,,33.0,0.0,1,484.0,229.1025971044414
Amanda Boring,0,1,1.0,,,,,1,1059.0,
Amanpreet Kaur,307,39,0.717948717948718,7.631578947368421,10.19120196245491,95.96356275303644,68.03912520724168,1,447.0769230769231,100.02615042692972
Amanuel Neguede,1567,92,0.9565217391304348,16.75824175824176,55.89580398867971,361.1032011466794,321.9257916677743,1,457.6304347826087,173.91362750738057
Amarachi Onwuzulike,81,6,1.0,15.8,20.4132310034448,40.0,27.844808013942803,1,567.8333333333334,238.2019451361946
Ameesh Rai,349,36,0.8888888888888888,9.514285714285714,17.732276036803007,92.64126984126985,82.30162226201215,1,514.8611111111111,102.0843216667414
Amelia Ash,52,7,1.0,8.666666666666666,7.061633427661525,24.095238095238095,14.71605783749996,1,269.2857142857143,141.04929904790296
Amelia Clarke,0,1,1.0,,,,,1,420.0,
Amina Mammadova,0,1,1.0,,,,,1,315.0,
Aminu Abubakar,962,3,0.6666666666666666,481.0,630.7392488184004,641.3333333333334,428.9804450347617,1,1251.6666666666667,620.1752440506904
Amisha Airen,75,2,0.5,75.0,,75.0,0.0,1,377.5,70.0035713374682
Amreesh Kumar,0,1,1.0,,,,,1,262.0,
Amritha Mohan,70,10,0.9,7.555555555555555,7.367345368433448,29.733333333333334,20.11345597134195,1,556.2,181.7267790454181
Amrtansh Arora,663,83,0.8795180722891566,7.646341463414634,10.255226853068107,206.6362033499853,157.44211033734874,1,435.28915662650604,132.62927702769775
Amy Sherman,4980,1099,0.8698817106460418,4.53551912568306,5.3958283249896475,1567.4505089077502,1115.3197260694465,1,949.7324840764331,321.19626885154173
Amy Sippitt,1191,74,0.9324324324324325,16.315068493150687,35.52302723912131,289.5527582376898,282.82735240234473,1,526.918918918919,204.9345205653825
Amy Sood,322,22,0.6818181818181818,14.904761904761905,29.410720429640556,75.50649350649351,73.24364074931917,1,425.8181818181818,88.47794256393126
Ana Abramiz'E,14,2,1.0,14.0,,14.0,0.0,1,791.5,70.0035713374682
Ana Bregvadze,30,2,1.0,30.0,,30.0,0.0,1,917.0,295.57063453597686
Ana Chitaladze,211,13,0.6923076923076923,17.25,17.8331917298258,92.74358974358974,60.96876793930494,1,1058.4615384615386,358.00922133948256
Ana Glunchadze,70,3,1.0,34.5,40.30508652763321,46.333333333333336,28.66279043560755,1,382.0,38.97435053981015
Ana Loladze,0,1,1.0,,,,,1,342.0,
Ana Mosashvili,65,2,1.0,65.0,,65.0,0.0,1,382.0,537.4011537017761
Ana Prieto,1506,8,0.375,214.42857142857142,290.86930463861665,495.25,423.95068993929,1,786.125,583.8724022788344
Ana Putkaradze,65,2,1.0,65.0,,65.0,0.0,1,394.5,16.263455967290593
Ana Santos Rutschman,0,1,1.0,,,,,1,1247.0,
Analisa Trofimuk,123,8,1.0,17.571428571428573,8.695921320886454,51.785714285714285,31.49303453924051,1,822.0,186.65705757580434
Ananaya Sharma,508,322,0.906832298136646,1.102803738317757,1.715378490154864,167.53185890365899,124.20793559653062,1,244.86335403726707,82.9168030195527
Ananta Agarwal,36,4,0.25,11.666666666666666,13.868429375143148,17.666666666666668,12.970050972229146,1,1002.5,902.5225758949191
Anastasia Japaridze,0,1,1.0,,,,,1,401.0,
Anastasia Tsalughelashvili,8,2,1.0,8.0,,8.0,0.0,1,477.5,118.08683245815344
Anastasia Tsignadze,0,1,0.0,,,,,1,444.0,
Anaïs Maréchal,0,1,1.0,,,,,1,1218.0,
Andra Lim,649,3,1.0,324.5,420.72853480599576,432.6666666666667,287.06135619797766,1,1987.0,425.85326111232257
Andre Byik,30,16,0.875,1.5333333333333334,1.3557637102737476,12.341666666666667,8.504406537528386,1,485.5625,90.61859172745218
Andrei Duran,0,1,1.0,,,,,1,410.0,
Andrew Friedman,0,1,1.0,,,,,1,1814.0,
Andrew Karter,13,2,1.0,13.0,,13.0,0.0,1,170.5,58.68986283848344
Andrew Kessel,36,3,1.0,18.0,0.0,24.0,8.48528137423857,1,761.6666666666666,229.36070573080588
Andrew Luis Babaan,23,3,1.0,11.0,1.4142135623730951,15.0,5.715476066494082,1,180.0,55.97320787662612
Andria Sajaia,0,1,1.0,,,,,1,309.0,
Andy Dudfield,287,2,1.0,287.0,,287.0,0.0,1,1018.5,204.35385976291224
Andy East,18,2,1.0,18.0,,18.0,0.0,1,1173.5,474.4686501761734
Andy Nguyen,1311,126,0.9365079365079365,10.488,39.0819271819861,279.9432380952381,230.44497676835724,1,621.6111111111111,191.73673501850283
Aneri Pattani,0,1,1.0,,,,,1,1313.0,
Anet Mikeladze,0,1,1.0,,,,,1,608.0,
Ange Kasongo,1427,4,1.0,475.3333333333333,728.502802556952,727.0,654.616681730614,1,491.5,110.67821224914444
Angeline Narnola,86,5,0.4,21.5,43.0,51.6,42.13122357587066,1,231.0,118.90962955118479
Angelo Fichera,1170,53,0.7358490566037735,22.076923076923077,45.827830466310196,279.5587808417997,289.879567779829,1,1671.1132075471698,1185.6479186240706
Angie Drobnic Holan,3435,141,0.8014184397163121,24.535714285714285,98.69824739606307,427.6774062816616,644.35902592573,1,961.5602836879433,352.20234380647736
Ani Kistauri,1587,108,0.9537037037037037,14.317757009345794,22.097809219015833,439.17514710972654,328.7864484533865,1,711.5092592592592,320.0553251055481
Ani Nadirashvili,1172,8,1.0,167.42857142857142,313.0111058428317,506.82142857142856,450.11713186453943,1,760.625,447.3442067197409
Anim Van Wyk,1624,99,0.8888888888888888,16.571428571428573,20.49289542467335,551.012987012987,389.5133250903852,1,504.1515151515151,376.5601115694968
Anine Kriegler,591,2,0.5,591.0,,591.0,0.0,1,900.0,36.76955262170047
Anja Martin,78,2,1.0,78.0,,78.0,0.0,1,708.5,94.04520189781083
Ankita Deshkar,958,111,0.8468468468468469,8.254545454545454,9.735432649557067,289.13513513513516,217.17268706144776,1,580.018018018018,236.22858659981256
Ankita Maneck,0,1,1.0,,,,,1,560.0,
Anmol Alphonso,2057,632,0.7682539682539683,2.7781299524564185,18.279528761307457,503.11616582077875,358.05882543391976,1,498.5996835443038,164.70642239556602
Ann Ngengere,0,1,1.0,,,,,1,666.0,
Anna Benjamin,67,21,1.0,2.8,2.30788123383195,22.233333333333334,15.968953012563484,1,197.85714285714286,50.13709775633779
Anna Bruzgulis,566,21,0.9523809523809523,28.3,77.77233982660714,116.31428571428572,181.62445893004792,1,792.1428571428571,241.32618708177645
Anna Demming,38,2,1.0,38.0,,38.0,0.0,1,1357.5,420.72853480599576
Anna Groves,24,2,1.0,24.0,,24.0,0.0,1,1293.0,93.33809511662427
Anna Maples,34,2,1.0,34.0,,34.0,0.0,1,780.5,251.02290732122438
Anna Mirakova,0,1,1.0,,,,,1,1159.0,
Anna Mock,271,309,0.8478964401294499,0.44805194805194803,1.1098740004914418,86.01021308788299,61.00623430140587,1,306.294498381877,76.53698284072347
Anna Orso,548,28,0.8928571428571429,20.296296296296298,19.501114001344828,191.77513227513228,143.01100603521647,1,865.3571428571429,239.2996284353826
Anna Peterson,71,3,1.0,35.5,13.435028842544403,47.333333333333336,18.445113776342563,1,832.6666666666666,401.44779652320096
Anna Rascouët-Paz,324,168,0.9583333333333334,1.5209580838323353,2.531341668524967,93.23274878813801,67.28263329228103,1,390.26785714285717,191.26037909965754
Anne Chan,91,8,0.125,12.714285714285714,10.904346009952265,35.392857142857146,24.028761465190428,1,679.75,537.5390351274168
Anne Rolandin,0,1,1.0,,,,,1,678.0,
Anne Wallace Allen,0,1,1.0,,,,,1,341.0,
Anne-Sophie Faivre Le Cadre,1525,8,1.0,217.42857142857142,531.923508643507,812.25,720.9424201795076,1,426.875,173.47328942190822
Anoush Grigourian,0,1,1.0,,,,,1,657.0,
Anoushka Jain,27,7,0.7142857142857143,4.166666666666667,4.167333280008532,11.380952380952381,7.416045605732468,1,389.42857142857144,75.9799472292024
Anthony,68,2,1.0,68.0,,68.0,0.0,1,430.5,75.66042558696059
Anthony Cave,263,34,1.0,7.96969696969697,3.9487723447044947,89.7361853832442,62.370421188902846,1,656.5588235294117,210.2940497114184
Anthony King,261,5,0.8,65.0,65.93431074435625,122.6,88.97550224640489,1,1475.8,232.8115117428689
Anthony Pascone,96,96,0.9375,0.6105263157894737,1.2402362235709612,30.905043859649123,22.029704248952637,1,268.3125,106.87418205288722
Anthony S Rozario,0,1,1.0,,,,,1,461.0,
Anthony Starkey,14,2,1.0,14.0,,14.0,0.0,1,601.5,92.63098833543772
Antonia Howard,85,4,1.0,28.0,37.64306044943742,44.5,36.012729231018675,1,555.0,262.64678435749664
Anuj Chopra,42,2,1.0,42.0,,42.0,0.0,1,737.5,21.920310216782973
Anuja Jha,1233,98,0.8877551020408163,12.22680412371134,12.479570934998105,385.79465600673257,272.08698825606945,1,395.85714285714283,103.06708855045844
Anumika Bahukhandi,0,1,1.0,,,,,1,338.0,
Anupriya Thakur,867,101,0.8217821782178217,8.26,15.306049507144275,336.2017821782178,250.5605649532566,1,395.33663366336634,120.74496074186474
Anuprova Ghose,24,2,1.0,24.0,,24.0,0.0,1,678.5,85.55992052357225
Anuradha Prasad,767,101,0.8316831683168316,7.24,6.060503029427258,252.6510891089109,178.53013125559667,1,434.96039603960395,108.64722000972502
Anusha Rao,1717,72,0.9166666666666666,23.732394366197184,162.04822542744833,578.9593114241002,697.0246428961703,1,250.76388888888889,107.60052529527198
Anzila Adeen,6,2,1.0,6.0,,6.0,0.0,1,247.0,26.870057685088806
Aoife Barry,1248,5,1.0,311.5,300.29929514846793,612.4,433.752279532915,1,960.2,432.909574853687
Aparna Singh,1768,9,1.0,220.5,583.4863200746747,421.8888888888889,697.9929073890595,1,379.44444444444446,75.4720330836382
April Hunt,544,87,0.8735632183908046,6.325581395348837,5.028019983265817,179.76423416198878,126.875174186236,1,844.8735632183908,155.072136597081
Aqueleema,8,4,1.0,2.3333333333333335,2.3094010767585034,4.0,2.8284271247461903,1,355.0,35.6183473320516
Ara Eugenio,833,72,0.8472222222222222,11.19718309859155,8.832763227746145,297.2077464788732,211.455562436222,1,524.4166666666666,126.05707962642823
Arabella Kordzakhia,949,45,0.9333333333333333,21.045454545454547,55.902304543524465,290.579797979798,247.976202825263,1,778.3555555555556,523.7505111976484
Archibong Jeremiah Ojanga,0,1,1.0,,,,,1,141.0,
Archil Rostomashvili,221,4,1.0,73.66666666666667,106.56609842409233,114.5,98.48646269073397,1,10.25,4.5
Archis Chowdhury,1955,187,0.7967914438502673,10.026881720430108,36.99648380599913,450.6634466103157,327.085610267,1,513.75935828877,221.71506672413858
Areta Lee,86,7,0.2857142857142857,13.833333333333334,18.43276069032164,30.285714285714285,24.811945773381506,1,802.1428571428571,595.5723937444349
Arfa Yunus,145,6,1.0,28.4,22.154006409676782,70.4,40.96470025115119,1,599.3333333333334,88.75509375053733
Aria Deemie,0,1,1.0,,,,,1,71.0,
Arianne Christian Tapao,0,1,1.0,,,,,1,598.0,
Ariella Phillips,67,5,0.8,16.75,13.62289739127963,31.0,20.405881505095532,1,791.6,84.96940625895887
Arjita Mishra,593,65,0.7846153846153846,8.796875,14.22515063942332,218.45961538461538,154.45355694738217,1,445.67692307692306,127.4286697151964
Arpan Cheema,27,10,1.0,2.5555555555555554,3.0459444804161775,10.377777777777778,7.248873901476434,1,378.9,141.7567948596782
Arpan Rai,124,4,1.0,40.666666666666664,67.00248751601193,61.666666666666664,58.71588844218876,1,531.5,84.26347567797885
Arpine Hovhannisyan,0,1,1.0,,,,,1,348.0,
Arpita Ghosh,457,241,0.9543568464730291,1.4,1.7543728987254754,149.3387275242047,106.0099733403423,1,472.344398340249,102.4098061494796
Arpita Raj,0,1,1.0,,,,,1,559.0,
Arshaluys Barseghyan,22,4,1.0,7.333333333333333,6.658328118479393,11.666666666666666,7.386173268720112,1,711.25,272.853287806225
Arshi Aggarwal,942,45,0.9555555555555556,20.886363636363637,49.85104132666704,336.92727272727274,256.5211684486467,1,427.9555555555556,118.35519644380861
Arthur Cook,0,1,1.0,,,,,1,597.0,
Arthur Macmillan,1700,11,1.0,169.7,385.29413007034856,814.1818181818181,676.4013894644373,1,604.8181818181819,236.4283477850396
Arturo Garcia,859,342,0.9707602339181286,2.0439882697947214,2.4676376986151562,285.9796093361458,202.50501582673587,1,310.6111111111111,154.96598129929075
Arulchelvan Sriram,0,1,1.0,,,,,1,441.0,
Arun Nag,2262,422,0.8388625592417062,5.078384798099762,6.909347240490458,866.859846224854,629.2393091445093,1,340.6232227488152,106.69782283470094
Aryan,0,1,0.0,,,,,1,574.0,
Asad Ashraf,0,1,1.0,,,,,1,265.0,
Ashala Moseberry,0,1,1.0,,,,,1,751.0,
